Price,Metro station,Minutes to metro,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Apartment_type_Digit,Region_Digit,Renovation_N_Cosmetic,Renovation_N_Designer,Renovation_N_European-style renovation,Renovation_N_Without renovation,Living_share,Kitchen_share,Is_first_floor
9249000.0, Павшино,8.0,1.0,40.0,12.0,20.0,10.0,21,0,0,0,0,1,0,0.3,0.5,0
9300000.0, Опалиха,6.0,1.0,46.1,17.9,10.4,19.0,24,0,0,0,1,0,0,0.38828633405639906,0.22559652928416485,0
9300000.0, Опалиха,6.0,1.0,45.8,18.8,12.8,14.0,17,0,0,0,0,1,0,0.4104803493449782,0.27947598253275113,0
9316380.0, Аникеевка,3.0,1.0,59.34,35.1,14.5,3.0,3,0,0,0,0,0,1,0.5915065722952477,0.2443545669025952,0
9300000.0, Опалиха,15.0,1.0,54.0,26.0,12.0,7.0,10,0,0,0,0,1,0,0.48148148148148145,0.2222222222222222,0
9350000.0, Аникеевка,6.0,1.0,44.6,17.9,10.4,19.0,24,0,0,0,0,1,0,0.40134529147982057,0.23318385650224216,0
9400000.0, Пенягино,14.0,1.0,33.0,17.0,6.0,13.0,45,0,0,0,0,1,0,0.5151515151515151,0.18181818181818182,0
9500000.0, Пенягино,11.0,1.0,42.3,18.0,8.5,3.0,16,0,0,1,0,0,0,0.425531914893617,0.20094562647754138,0
9500000.0, Пенягино,10.0,1.0,37.7,18.0,8.0,8.0,17,0,0,1,0,0,0,0.47745358090185674,0.21220159151193632,0
9500000.0, Пенягино,14.0,1.0,35.0,19.8,9.5,6.0,8,0,0,0,0,1,0,0.5657142857142857,0.2714285714285714,0
9500000.0, Пенягино,9.0,1.0,42.0,19.4,8.7,7.0,19,0,0,0,0,1,0,0.4619047619047619,0.20714285714285713,0
9500000.0, Опалиха,7.0,1.0,40.0,14.1,13.5,25.0,25,0,0,0,1,0,0,0.3525,0.3375,0
9499999.0, Опалиха,16.0,1.0,34.6,12.0,10.0,5.0,8,0,0,0,1,0,0,0.3468208092485549,0.2890173410404624,0
9500000.0, Опалиха,7.0,1.0,40.0,14.0,13.5,25.0,25,0,0,1,0,0,0,0.35,0.3375,0
9499999.0, Аникеевка,17.0,1.0,42.8,24.8,12.7,4.0,6,0,0,0,1,0,0,0.5794392523364487,0.2967289719626168,0
9500000.0, Пенягино,7.0,1.0,37.8,19.0,6.0,2.0,17,0,0,1,0,0,0,0.5026455026455027,0.15873015873015875,0
9600000.0, Пенягино,6.0,1.0,38.7,18.9,9.0,6.0,26,0,0,0,0,1,0,0.48837209302325574,0.23255813953488372,0
9600000.0, Павшино,3.0,1.0,47.0,23.0,12.0,15.0,25,0,0,0,1,0,0,0.48936170212765956,0.2553191489361702,0
9550000.0, Пенягино,18.0,1.0,34.0,14.0,9.5,3.0,7,0,0,0,0,1,0,0.4117647058823529,0.27941176470588236,0
9600000.0, Пенягино,7.0,1.0,37.0,19.0,8.0,3.0,17,0,0,0,0,1,0,0.5135135135135135,0.21621621621621623,0
9700000.0, Пятницкое шоссе,10.0,1.0,45.0,28.0,12.0,6.0,17,0,0,1,0,0,0,0.6222222222222222,0.26666666666666666,0
9700000.0, Мякинино,16.0,1.0,37.0,17.0,9.3,17.0,19,0,0,0,0,1,0,0.4594594594594595,0.2513513513513514,0
9700000.0, Пенягино,16.0,1.0,35.0,20.0,6.0,35.0,45,0,0,0,0,1,0,0.5714285714285714,0.17142857142857143,0
9700000.0, Павшино,20.0,1.0,41.2,14.0,20.0,17.0,25,0,0,0,1,0,0,0.3398058252427184,0.48543689320388345,0
9800000.0, Мякинино,15.0,1.0,40.2,18.9,13.0,21.0,23,0,0,1,0,0,0,0.4701492537313432,0.3233830845771144,0
9800000.0, Опалиха,6.0,1.0,46.1,25.4,10.5,9.0,17,0,0,0,0,1,0,0.5509761388286334,0.227765726681128,0
12550000.0, Мякинино,20.0,2.0,60.7,40.0,13.0,2.0,7,0,0,1,0,0,0,0.6589785831960461,0.214168039538715,0
7500000.0, Павшино,11.0,2.0,42.0,28.0,6.0,5.0,5,0,0,1,0,0,0,0.6666666666666666,0.14285714285714285,0
11690000.0, Опалиха,17.0,2.0,61.0,31.0,12.0,6.0,8,0,0,0,0,0,1,0.5081967213114754,0.19672131147540983,0
12700000.0, Аникеевка,16.0,2.0,70.1,37.6,12.4,4.0,6,0,0,1,0,0,0,0.536376604850214,0.17689015691868762,0
12650000.0, Пенягино,19.0,2.0,46.1,23.7,14.6,4.0,15,0,0,0,1,0,0,0.5140997830802603,0.31670281995661603,0
18000000.0, Пенягино,18.0,2.0,68.0,35.0,17.0,30.0,44,0,0,0,1,0,0,0.5147058823529411,0.25,0
12546450.0, Пенягино,10.0,2.0,73.5,39.5,13.3,6.0,22,0,0,0,0,0,1,0.5374149659863946,0.18095238095238098,0
11500000.0, Опалиха,6.0,2.0,56.0,22.0,13.0,3.0,24,0,0,0,1,0,0,0.39285714285714285,0.23214285714285715,0
9500000.0, Митино,17.0,2.0,44.0,26.0,7.0,1.0,8,0,0,0,0,1,0,0.5909090909090909,0.1590909090909091,1
10500000.0, Митино,11.0,2.0,50.3,25.0,6.0,22.0,25,0,0,0,0,1,0,0.4970178926441352,0.11928429423459246,0
11190000.0, Митино,14.0,2.0,64.4,30.1,13.6,7.0,9,0,0,0,0,1,0,0.46739130434782605,0.21118012422360247,0
11500000.0, Пенягино,15.0,2.0,40.0,31.0,6.5,32.0,44,0,0,0,1,0,0,0.775,0.1625,0
49500000.0, Мякинино,14.0,2.0,109.0,59.0,15.0,8.0,8,0,0,0,1,0,0,0.5412844036697247,0.13761467889908258,0
8000000.0, Аникеевка,5.0,2.0,35.0,16.0,16.0,3.0,3,0,0,0,1,0,0,0.45714285714285713,0.45714285714285713,0
8500000.0, Павшино,14.0,2.0,43.5,28.2,6.0,1.0,5,0,0,0,0,1,0,0.6482758620689655,0.13793103448275862,1
8800000.0, Павшино,5.0,2.0,42.0,28.0,6.0,5.0,5,0,0,1,0,0,0,0.6666666666666666,0.14285714285714285,0
9650000.0, Опалиха,7.0,2.0,52.0,30.0,9.0,8.0,25,0,0,1,0,0,0,0.5769230769230769,0.17307692307692307,0
9800000.0, Красногорская,9.0,2.0,66.0,35.9,11.2,10.0,25,0,0,0,0,1,0,0.543939393939394,0.16969696969696968,0
10000000.0, Павшино,12.0,2.0,50.0,15.0,30.0,6.0,21,0,0,0,0,1,0,0.3,0.6,0
10300000.0, Павшино,18.0,2.0,47.0,25.9,10.5,16.0,18,0,0,0,1,0,0,0.551063829787234,0.22340425531914893,0
10500000.0, Красногорская,6.0,2.0,47.2,32.0,9.0,11.0,12,0,0,1,0,0,0,0.6779661016949152,0.1906779661016949,0
10700000.0, Опалиха,6.0,2.0,52.0,30.0,12.0,10.0,26,0,0,0,1,0,0,0.5769230769230769,0.23076923076923078,0
12300000.0, Красногорская,7.0,2.0,51.0,26.0,10.0,3.0,17,0,0,0,0,1,0,0.5098039215686274,0.19607843137254902,0
13900000.0, Пенягино,10.0,2.0,72.0,40.0,12.0,11.0,17,0,0,0,0,1,0,0.5555555555555556,0.16666666666666666,0
13990000.0, Павшино,3.0,2.0,61.0,32.7,10.0,23.0,25,0,0,0,1,0,0,0.5360655737704918,0.16393442622950818,0
16300000.0, Опалиха,6.0,2.0,63.6,38.0,13.0,2.0,8,0,0,0,1,0,0,0.5974842767295597,0.20440251572327042,0
